Timestamp,What is your age?,Which social media platform/s do you like the most or use the most?,How much time do you spend on social media in a day?,How much time do you spend on physical activities in a day?,How much do you feel that you are exposed to inappropriate content on these platforms (out of 10)?,Have you ever been a victim of any of these cyber crimes?,Which type of communication do you generally prefer?,,,,,,
2/3/2018 18:41:04,19,"Whatsapp, Youtube, Instagram, Snapchat, Hike",upto 4 hrs,less than 1 hr,1,None of the above,face to face,,,,,,
2/3/2018 18:41:31,19,Whatsapp,1 - 2.5 hrs,1 - 2.5 hrs,6,None of the above,"face to face, through phone",,,,,,
2/3/2018 18:42:26,20,"Whatsapp, Facebook, Youtube",1 - 2.5 hrs,less than 1 hr,5,None of the above,face to face,,,,,,
2/3/2018 18:44:15,19,Whatsapp,1 - 2.5 hrs,1 - 2.5 hrs,3,None of the above,face to face,,,,,,
2/3/2018 18:45:50,18,Whatsapp,1 - 2.5 hrs,less than 1 hr,7,None of the above,face to face,,,,,,
2/3/2018 18:46:16,18,"Whatsapp, Facebook, Instagram",less than 1 hr,none,2,None of the above,face to face,,,,,,
2/3/2018 18:46:56,22,"Whatsapp, Facebook, Youtube",1 - 2.5 hrs,1 - 2.5 hrs,10,None of the above,through phone,,,,,,
2/3/2018 18:47:13,21,Whatsapp,less than 1 hr,less than 1 hr,0,None of the above,face to face,,,,,,
2/3/2018 18:48:20,19,Snapchat,upto 4 hrs,less than 1 hr,7,None of the above,through social media,,,,,,
2/3/2018 18:48:29,19,Instagram,1 - 2.5 hrs,1 - 2.5 hrs,5,None of the above,face to face,,,,,,
2/3/2018 18:48:42,19,Instagram,1 - 2.5 hrs,1 - 2.5 hrs,5,None of the above,face to face,,,,,,
2/3/2018 18:49:03,19,"Whatsapp, Instagram",less than 1 hr,less than 1 hr,1,None of the above,through phone,,,,,,
2/3/2018 18:49:47,18,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,none,7,None of the above,through phone,,,,,,
2/3/2018 18:49:57,17,Whatsapp,less than 1 hr,1 - 2.5 hrs,0,None of the above,face to face,,,,,,
2/3/2018 18:50:04,17,Youtube,1 - 2.5 hrs,less than 1 hr,5,None of the above,face to face,,,,,,
2/3/2018 18:50:04,18,"Whatsapp, Youtube",1 - 2.5 hrs,less than 1 hr,7,None of the above,through phone,,,,,,
2/3/2018 18:50:53,19,Facebook,less than 1 hr,none,0,None of the above,face to face,,,,,,
2/3/2018 18:51:04,18,"Whatsapp, Facebook, Instagram",more than 4 hrs,none,0,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 18:51:32,18,Whatsapp,less than 1 hr,less than 1 hr,0,None of the above,face to face,,,,,,
2/3/2018 18:51:48,19,"Whatsapp, Facebook, Instagram, Snapchat, Hike",less than 1 hr,1 - 2.5 hrs,4,None of the above,Text message,,,,,,
2/3/2018 18:52:08,18,"Whatsapp, Facebook, Youtube, Twitter, Instagram",upto 4 hrs,less than 1 hr,7,None of the above,"face to face, through phone, Text message",,,,,,
2/3/2018 18:52:36,18,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,none,4,None of the above,"Text message, through social media",,,,,,
2/3/2018 18:53:11,18,"Whatsapp, Youtube, Instagram",upto 4 hrs,less than 1 hr,6,None of the above,face to face,,,,,,
2/3/2018 18:53:27,20,Youtube,more than 4 hrs,none,7,None of the above,through phone,,,,,,
2/3/2018 18:54:22,19,Instagram,1 - 2.5 hrs,less than 1 hr,5,None of the above,"through phone, through social media",,,,,,
2/3/2018 18:54:32,19,Twitter,1 - 2.5 hrs,1 - 2.5 hrs,3,None of the above,face to face,,,,,,
2/3/2018 18:54:58,18,Whatsapp,less than 1 hr,1 - 2.5 hrs,7,None of the above,face to face,,,,,,
2/3/2018 18:55:19,20,Youtube,more than 4 hrs,1 - 2.5 hrs,7,None of the above,face to face,,,,,,
2/3/2018 18:55:35,19,"Whatsapp, Youtube, Instagram, Hike",upto 4 hrs,less than 1 hr,6,Hacking,through social media,,,,,,
2/3/2018 18:56:45,19,"Whatsapp, Instagram, Snapchat",upto 4 hrs,none,4,None of the above,face to face,,,,,,
2/3/2018 18:59:45,18,"Whatsapp, Facebook, Youtube, Twitter, Instagram, Snapchat, Hike",upto 4 hrs,none,8,Hacking,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 19:03:28,19,"Whatsapp, Facebook, Instagram",upto 4 hrs,1 - 2.5 hrs,2,None of the above,"face to face, through social media",,,,,,
2/3/2018 19:03:40,20,"Whatsapp, Facebook, Youtube, Instagram, Hike",more than 4 hrs,none,3,None of the above,through social media,,,,,,
2/3/2018 19:03:44,18,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,less than 1 hr,2,None of the above,"Text message, through social media",,,,,,
2/3/2018 19:05:25,19,"Whatsapp, Youtube, Instagram, Snapchat",1 - 2.5 hrs,none,5,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 19:06:52,18,Whatsapp,1 - 2.5 hrs,less than 1 hr,3,None of the above,face to face,,,,,,
2/3/2018 19:07:26,19,"Whatsapp, Facebook, Youtube, Instagram, Snapchat",1 - 2.5 hrs,upto 4 hrs,7,None of the above,face to face,,,,,,
2/3/2018 19:08:21,19,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,1 - 2.5 hrs,7,None of the above,"face to face, through phone",,,,,,
2/3/2018 19:09:57,18,"Whatsapp, Facebook, Youtube, Hike",1 - 2.5 hrs,less than 1 hr,5,None of the above,Text message,,,,,,
2/3/2018 19:10:27,18,"Whatsapp, Youtube, Instagram",upto 4 hrs,1 - 2.5 hrs,5,None of the above,face to face,,,,,,
2/3/2018 19:10:32,19,"Whatsapp, Facebook, Youtube",less than 1 hr,less than 1 hr,0,None of the above,face to face,,,,,,
2/3/2018 19:10:34,19,"Whatsapp, Youtube",upto 4 hrs,less than 1 hr,7,Fake profiles,"face to face, through phone",,,,,,
2/3/2018 19:11:51,18,"Whatsapp, Facebook",1 - 2.5 hrs,upto 4 hrs,6,None of the above,"face to face, through social media",,,,,,
